c_pais,c_cont
8015,15001
8038,15001
8040,15001
8058,15001
8001,15002
8005,15002
8006,15002
8007,15002
8008,15002
8010,15002
8012,15002
8014,15002
8017,15002
8020,15002
8026,15002
8027,15002
8028,15002
8035,15002
8041,15002
8042,15002
8046,15002
8047,15002
8048,15002
8053,15002
8063,15002
8064,15002
8009,15003
8016,15003
8018,15003
8022,15003
8030,15003
8031,15003
8033,15003
8036,15003
8037,15003
8039,15003
8054,15003
8057,15003
8061,15003
8065,15003
8000,15004
8003,15004
8004,15004
8011,15004
8013,15004
8019,15004
8021,15004
8023,15004
8024,15004
8025,15004
8029,15004
8032,15004
8034,15004
8043,15004
8045,15004
8049,15004
8050,15004
8051,15004
8052,15004
8055,15004
8059,15004
8060,15004
8062,15004
8002,15005
8044,15005
