ts,idservel,padron,vt1v,c1v
2021-12-04 15:34:25.109716,4122,2095,925,44.153
2021-12-04 15:34:25.109716,4021,312533,131757,42.158
2021-12-04 15:34:25.109716,4082,147120,63495,43.159
2021-12-04 15:34:25.109716,4151,183932,83369,45.326
2021-12-04 15:34:25.109716,4112,28984,11777,40.633
2021-12-04 15:34:25.109716,4083,347460,146678,42.214
2021-12-04 15:34:25.109716,4061,536985,258032,48.052
2021-12-04 15:34:25.109716,4113,4712,1980,42.02
2021-12-04 15:34:25.109716,4062,48580,22973,47.289
2021-12-04 15:34:25.109716,4072,54965,23718,43.151
2021-12-04 15:34:25.109716,4091,687311,313021,45.543
2021-12-04 15:34:25.109716,4133,171843,83399,48.532
2021-12-04 15:34:25.109716,4032,25081,9628,38.388
2021-12-04 15:34:25.109716,4102,162548,62689,38.566
2021-12-04 15:34:25.109716,4042,79469,33910,42.671
2021-12-04 15:34:25.109716,4063,194738,87865,45.12
2021-12-04 15:34:25.109716,4081,843030,410117,48.648
2021-12-04 15:34:25.109716,4031,152356,68793,45.153
2021-12-04 15:34:25.109716,4132,442640,213381,48.206
2021-12-04 15:34:25.109716,4111,55468,23614,42.572
2021-12-04 15:34:25.109716,4073,245535,115910,47.207
2021-12-04 15:34:25.109716,4014,32455,11243,34.642
2021-12-04 15:34:25.109716,4161,276817,125880,45.474
2021-12-04 15:34:25.109716,4022,140898,61709,43.797
2021-12-04 15:34:25.109716,4041,395399,174590,44.155
2021-12-04 15:34:25.109716,4114,9394,3326,35.406
2021-12-04 15:34:25.109716,4033,65342,28581,43.741
2021-12-04 15:34:25.109716,4011,227692,99061,43.507
2021-12-04 15:34:25.109716,4052,6493,3027,46.619
2021-12-04 15:34:25.109716,4162,56202,26175,46.573
2021-12-04 15:34:25.109716,4043,148712,58392,39.265
2021-12-04 15:34:25.109716,4074,252653,107988,42.742
2021-12-04 15:34:25.109716,4101,348101,159356,45.779
2021-12-04 15:34:25.109716,4053,92615,49577,53.53
2021-12-04 15:34:25.109716,4121,124011,57410,46.294
2021-12-04 15:34:25.109716,4134,384175,176240,45.875
2021-12-04 15:34:25.109716,4092,200295,87079,43.475
2021-12-04 15:34:25.109716,4058,292869,150103,51.253
2021-12-04 15:34:25.109716,4135,151768,66798,44.013
2021-12-04 15:34:25.109716,4103,215629,101685,47.157
2021-12-04 15:34:25.109716,4104,20075,7168,35.706
2021-12-04 15:34:25.109716,4152,7696,2514,32.666
2021-12-04 15:34:25.109716,4054,73407,35818,48.794
2021-12-04 15:34:25.109716,4163,97979,41897,42.761
2021-12-04 15:34:25.109716,4055,172964,84603,48.914
2021-12-04 15:34:25.109716,4142,90967,40904,44.966
2021-12-04 15:34:25.109716,4056,151558,78644,51.89
2021-12-04 15:34:25.109716,4057,126305,61456,48.657
2021-12-04 15:34:25.109716,4131,4475972,2246030,50.18
2021-12-04 15:34:25.109716,4136,235781,121426,51.499
2021-12-04 15:34:25.109716,4071,339093,161942,47.757
2021-12-04 15:34:25.109716,4123,8071,2810,34.816
2021-12-04 15:34:25.109716,4023,28369,10278,36.23
2021-12-04 15:34:25.109716,4124,24306,8891,36.579
2021-12-04 15:34:25.109716,4141,262089,121372,46.309
2021-12-04 15:34:25.109716,4051,696419,339754,48.786
